sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse
C57BL6J-2.039,cellina,glutamatergic neuron_Fiber_tracts,200,0.8393324833120829,0.9140471816062927,0.605,1.0,0.605,0.99,0.9916832717977848,35.825341415405276,42.65189552307129,6.865854644775391,313.7933349609375,3.998171806335449
C57BL6J-2.039,cellina,glutamatergic neuron_Isocortex,200,0.917386934673367,0.9631537795066833,0.665,1.0,0.665,0.995,0.7618324795268309,38.42037010192871,42.827999877929685,6.485412120819092,225.3231201171875,3.880829334259033
C57BL6J-2.039,cellina,oligodendrocyte_Fiber_tracts,200,0.785497637440936,0.8318482041358948,0.625,1.0,0.625,0.945,0.8772507739652927,26.965283012390138,27.550650787353515,5.79975643157959,91.67999877929688,3.6705431938171387
C57BL6J-2.039,cellina,oligodendrocyte_Isocortex,200,0.8469016725418138,0.604465901851654,0.66,1.0,0.66,0.95,0.588632787605362,27.125269889831543,27.760347747802733,5.733624076843261,171.80135498046874,3.7264795303344727
C57BL6J-2.039,cellina-graph,GABAergic neuron_Fiber_tracts,200,0.7277007154057046,0.7732297778129578,0.4,0.9875,0.395,0.85,0.8086560364464692,39.5012622833252,46.99269104003906,8.414547061920166,453.91468200683596,3.0533761978149414
C57BL6J-2.039,cellina-graph,GABAergic neuron_Isocortex,200,0.8717122928073204,0.9391825795173645,0.545,1.0,0.545,0.985,0.7052311337928651,44.42718925476074,49.13584823608399,10.173946475982666,429.10582580566404,3.001858711242676
C57BL6J-2.039,cellina-graph,astrocyte_Fiber_tracts,200,0.8438325958148956,0.8134804964065552,0.55,1.0,0.55,0.935,0.795051368520116,33.100358963012695,35.00004844665527,6.3078714370727536,342.61219482421876,3.407228469848633
C57BL6J-2.039,cellina-graph,astrocyte_Isocortex,200,0.8826415660391512,0.9194753170013428,0.7,1.0,0.7,0.985,0.968349185422356,33.55713806152344,33.5307315826416,6.967224884033203,237.07015686035157,3.3550925254821777
C57BL6J-2.039,cellina-graph,endothelial cell_Fiber_tracts,200,0.623460586514663,0.4933299124240875,0.5,0.94,0.47,0.8,0.6600197581770934,32.86439895629883,34.84522933959961,7.651758098602295,339.3469696044922,3.4108595848083496
C57BL6J-2.039,cellina-graph,endothelial cell_Isocortex,200,0.9050911272781821,0.8759031891822815,0.68,1.0,0.68,0.95,0.7603982810221779,34.00179824829102,35.31089553833008,7.5578892707824705,227.17373352050782,3.4092705249786377
C57BL6J-2.039,cellina-graph,glutamatergic neuron_Fiber_tracts,200,0.7503967599189981,0.8496707677841187,0.55,1.0,0.55,0.95,0.44376802044873614,43.23705558776855,50.14691848754883,9.996672248840332,584.078173828125,4.027981758117676
