KO,type,baseline,Pearson,Precision,E-distance,RMSE_LFC,seed,model
NFKBIA,KO-specific,SpatialProp-random,-0.154211924727863,0.6,7.38519952774048,0.701642503839242,0,spatialprop
LBP,full,SpatialProp-random,0.5192443471883991,0.66,7.93293670654297,0.42984022154370755,0,spatialprop
LBP,KO-specific,SpatialProp-random,0.5044247304347701,0.6,7.893431072235107,0.4978176314460597,0,spatialprop
MAP2K3,full,SpatialProp-random,-0.05288920756906278,0.6,7.380740871429444,0.7140345664875818,0,spatialprop
MAP2K3,KO-specific,SpatialProp-random,5.492770920369483e-05,0.54,7.415810489654541,0.6527373332041544,0,spatialprop
MAP2K2,full,SpatialProp,0.208690638058489,0.7,7.283556270599365,0.9114047032634622,1,spatialprop
MAP2K2,KO-specific,SpatialProp,0.0028608890280067273,0.5,7.330397319793701,0.977517799533656,1,spatialprop
IRAK1,full,SpatialProp,0.8031463414024388,0.8,7.993373584747315,0.4532625521054437,1,spatialprop
IRAK1,KO-specific,SpatialProp,0.3855301322818633,0.4,7.98513240814209,0.7731891693010849,1,spatialprop
IRF7,full,SpatialProp,0.6641761012773931,0.5,7.313926696777344,0.635272634468413,1,spatialprop
IRF7,KO-specific,SpatialProp,0.8084915844678365,0.4,7.046871757507324,0.6260993417018216,1,spatialprop
PELI1,full,SpatialProp,-0.1768452061187547,0.6,7.202335453033447,0.7403415114200513,1,spatialprop
PELI1,KO-specific,SpatialProp,-0.47079950198306697,0.3,7.096315670013428,0.7739314918723563,1,spatialprop
IRF3,full,SpatialProp,0.8485902568812852,0.9,7.791634845733642,0.2777876612087946,1,spatialprop
IRF3,KO-specific,SpatialProp,0.4168352148533644,0.7,7.731992912292481,0.47990995605393894,1,spatialprop
IRF5,full,SpatialProp,0.4293089788603326,0.8,7.187757110595703,0.5615040139190887,1,spatialprop
IRF5,KO-specific,SpatialProp,-0.19011945238777117,0.6,7.079575634002685,0.6200585191179578,1,spatialprop
NFKBIA,full,SpatialProp,0.7180883436296541,0.8,7.327418041229248,0.5021308352395617,1,spatialprop
NFKBIA,KO-specific,SpatialProp,0.14515302479733627,0.7,7.285952758789063,0.49549649378285743,1,spatialprop
LBP,full,SpatialProp,0.6764285308132265,0.9,7.796370506286621,0.37622504285067865,1,spatialprop
LBP,KO-specific,SpatialProp,-0.2563864043621956,0.4,7.7864655494689945,0.6561377267712261,1,spatialprop
MAP2K3,full,SpatialProp,0.32776616830735034,0.7,7.39791784286499,0.5063404400099817,1,spatialprop
MAP2K3,KO-specific,SpatialProp,-0.3001715548567835,0.3,7.126968288421631,0.7817914397950588,1,spatialprop
MAP2K2,full,SpatialProp-random,-0.11904798198824891,0.6,7.478303012847901,1.0132356448161617,1,spatialprop
MAP2K2,KO-specific,SpatialProp-random,-0.30640879061762766,0.4,7.513145904541017,1.0867934040087117,1,spatialprop
IRAK1,full,SpatialProp-random,0.7804316717289023,0.8,8.101426906585692,0.48307960104475045,1,spatialprop
IRAK1,KO-specific,SpatialProp-random,0.3794558371578292,0.4,8.098323516845703,0.7950982640750214,1,spatialprop
IRF7,full,SpatialProp-random,0.66092598456108,0.5,7.078689956665039,0.6345183150605183,1,spatialprop
IRF7,KO-specific,SpatialProp-random,0.8032617427088828,0.4,7.1353363418579105,0.622107222785662,1,spatialprop
PELI1,full,SpatialProp-random,-0.26420718586711905,0.6,7.033160781860351,0.7487501080563996,1,spatialprop
