dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,neighbor_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb
crc,crc_242,REF,CRC,50,cellina,Myeloid,Endothelial,0.5123169267707083,0.6565296705735331,0.28,1.0,0.28,0.9,0.8385810623666927,67.5721975457868,68.33342293448821,7.015489440014552,301.0096549264913,5761.700990763503,2.7048412892465996,200
crc,crc_242,REF,CRC,50,cellina,Myeloid,Epithelial,0.8110924369747898,0.8973267841659276,0.48,1.0,0.48,0.98,0.7776261104114205,66.0682733126125,67.42572115478818,6.858723721225376,243.67090466403738,5310.0980434971425,1.2463148548045488,200
crc,crc_242,REF,CRC,50,cellina,Myeloid,Fibroblast,0.8036974789915966,0.7879285253251852,0.24,1.0,0.24,0.96,0.8599790515878911,70.26948880098882,69.74665825626485,6.011097179193852,315.79720429455153,5898.736980007161,2.506877948475708,200
crc,crc_242,REF,CRC,50,cellina,Myeloid,Myeloid,0.527875150060024,0.6674443567986493,0.28,1.0,0.28,0.9,0.8564784420234404,68.83880056481723,69.46645062375137,6.992341105557169,324.37433238677886,5809.825922435925,2.7258845731343326,200
crc,crc_242,REF,CRC,50,cellina,Myeloid,T_cell,0.6100840336134454,0.6621372006669887,0.22,1.0,0.22,0.9,0.8392329566451483,70.37013322705984,70.07352573793557,6.511780307507857,335.12006993878424,5981.614664500859,2.988794120902043,200
crc,crc_242,REF,CRC,50,cellina,T_cell,Endothelial,0.6868187274909963,0.8477459893102863,0.26,1.0,0.26,0.96,0.7213055355568863,85.5126716165065,89.83725866381079,5.622622189511162,167.9074340416663,19113.2002712162,1.1495749376061892,200
crc,crc_242,REF,CRC,50,cellina,T_cell,Epithelial,0.8310684273709483,0.9069554206901006,0.4,1.0,0.4,0.98,0.7264599215454074,85.59101458967687,90.86174287798978,5.673579354867175,141.41210175517503,19084.817428178674,0.7384272575432255,200
crc,crc_242,REF,CRC,50,cellina,T_cell,Fibroblast,0.7866026410564226,0.8522910727762077,0.3,1.0,0.3,0.94,0.7045249325465445,87.52332242236851,92.04750216046041,4.7809623698743495,144.4180526786014,19510.16727037991,1.2493239872857018,200
crc,crc_242,REF,CRC,50,cellina,T_cell,Myeloid,0.778343337334934,0.8690665821160438,0.32,1.0,0.32,0.96,0.6835874472651913,85.78725037464638,90.77085634468571,5.06066610582751,145.35799175752058,19351.404182379913,1.1749553917629032,200
crc,crc_242,REF,CRC,50,cellina,T_cell,T_cell,0.7006482593037214,0.7467898714779829,0.2,1.0,0.2,0.92,0.6776993157090855,87.43214065085847,92.51487111068256,4.817613319759692,165.6837314067694,19544.626495541554,1.6144300653082098,200
