sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,mixing_index,edistance_global,edistance_local,rmse
C57BL6J-2.036,scgen,astrocyte_Isocortex,200,0.8118382959573991,0.83014315366745,0.375,0.9733333333333334,0.365,0.9986772240335352,5.4088634014129635,5.535311889648438,1493.4735107421875
C57BL6J-2.036,scgen,endothelial cell_Fiber_tracts,200,0.519429430521836,0.666750967502594,0.335,1.0,0.335,0.6849277351361426,1.7923806667327882,2.2600232124328614,1472.7166748046875
C57BL6J-2.036,scgen,endothelial cell_Isocortex,200,0.8905347633690842,0.9125860929489136,0.365,0.9863013698630136,0.36,0.4600459147439179,2.3174956321716307,1.7271265029907226,1401.3592529296875
C57BL6J-2.036,scgen,glutamatergic neuron_Fiber_tracts,200,0.506555163879097,0.5159225463867188,0.175,0.8571428571428571,0.15,0.481472793175121,15.166492462158203,17.171110534667967,6151.73681640625
C57BL6J-2.036,scgen,glutamatergic neuron_Isocortex,200,0.7137898447461188,0.7686588168144226,0.225,0.9555555555555556,0.215,0.26265354248852363,14.356850719451904,17.73694610595703,10693.544921875
C57BL6J-2.036,scgen,oligodendrocyte_Fiber_tracts,200,0.5551953798844972,0.6479055881500244,0.35,0.9714285714285714,0.34,0.44399046987183327,1.3776355743408204,1.9372061252593995,2880.33984375
C57BL6J-2.036,scgen,oligodendrocyte_Isocortex,200,0.7129858246456162,0.508258581161499,0.3,0.9333333333333333,0.28,0.5683420179574132,3.4130666732788084,2.24906439781189,3384.292236328125
C57BL6J-2.039,baseline,GABAergic neuron_Fiber_tracts,200,-0.11631890797269932,0.06805326044559479,0.205,0.34146341463414637,0.07,0.025056947608200455,16.9660062789917,18.830624771118163,949.478759765625
C57BL6J-2.039,baseline,GABAergic neuron_Isocortex,200,0.5257895919109317,0.48089754581451416,0.28,0.7857142857142857,0.22,0.0,22.288303565979003,25.13953227996826,1192.544677734375
C57BL6J-2.039,baseline,astrocyte_Fiber_tracts,200,0.3314656609411697,0.3147132396697998,0.2,0.75,0.15,0.08525867252241655,18.89771785736084,20.400670433044432,2156.588134765625
C57BL6J-2.039,baseline,astrocyte_Isocortex,200,0.7296422410560264,0.6990076899528503,0.335,0.9402985074626866,0.315,0.003088803088803089,36.06203842163086,37.87090225219727,2994.507568359375
C57BL6J-2.039,baseline,endothelial cell_Fiber_tracts,200,0.4397563929993909,0.4043077230453491,0.205,0.8536585365853658,0.175,0.09090909090909091,22.151967430114745,24.530196571350096,1917.429931640625
C57BL6J-2.039,baseline,endothelial cell_Isocortex,200,0.7018551783413124,0.5867999792098999,0.31,0.9354838709677419,0.29,0.002388535031847134,40.171973419189456,41.94069709777832,2315.4365234375
C57BL6J-2.039,baseline,glutamatergic neuron_Fiber_tracts,200,0.0174094352358809,-0.01422878447920084,0.285,0.24561403508771928,0.07,0.9391936381709741,19.217022323608397,20.15018653869629,6732.74267578125
C57BL6J-2.039,baseline,glutamatergic neuron_Isocortex,200,0.35745893647341187,0.31500518321990967,0.225,0.6222222222222222,0.14,0.005045278137128072,24.957785224914552,28.663933181762694,11636.4072265625
C57BL6J-2.039,baseline,oligodendrocyte_Fiber_tracts,200,0.34657016425410636,0.3232589066028595,0.26,0.8461538461538461,0.22,0.06720977596741344,21.373459243774413,24.439107513427736,3288.982666015625
C57BL6J-2.039,baseline,oligodendrocyte_Isocortex,200,0.7679066976674418,0.560619592666626,0.3,1.0,0.3,0.06210191082802548,38.900616836547854,39.64104804992676,4584.30859375
C57BL6J-2.039,cellina-ablated,GABAergic neuron_Fiber_tracts,200,0.7549898747468687,0.7713084816932678,0.44,1.0,0.44,0.6253066878685742,9.972523975372315,8.749329948425293,1055.5858154296875
C57BL6J-2.039,cellina-ablated,GABAergic neuron_Isocortex,200,0.8777649441236032,0.903359591960907,0.545,1.0,0.545,0.9178355517981186,13.319983863830567,13.109881782531739,1089.38525390625
C57BL6J-2.039,cellina-ablated,astrocyte_Fiber_tracts,200,0.828670216755419,0.7826823592185974,0.47,0.9893617021276596,0.465,0.7755757718348888,11.052652549743652,9.590190410614014,2499.78515625
C57BL6J-2.039,cellina-ablated,astrocyte_Isocortex,200,0.8656056401410037,0.8899069428443909,0.57,1.0,0.57,0.539030668298961,11.592603969573975,9.365716075897216,2380.545166015625
