model_name,num_epochs,dataset_name,dataset_size,dataset_path,total_train_time_sec,avg_ram_gb,avg_vram_gb,peak_vram_gb
scanvi,50,crc_232,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,141.23553895950317,7.636250570310769,0.182497058354371,0.5979428291320801
scviva,50,crc_232,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,58.09570074081421,7.417507171630859,0.053948418847445785,0.18107128143310547
scanvi,50,crc_242,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,5.0096659660339355,14.011241912841797,0.04487524032592773,0.2500948905944824
scviva,50,crc_242,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,4.00738525390625,14.011241912841797,0.06249535083770752,0.12421321868896484
scanvi,50,crc_242,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,12.021292209625244,14.020193735758463,0.11956167221069336,0.5909380912780762
scviva,50,crc_242,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,8.015982389450073,14.05948257446289,0.09586459398269653,0.23875856399536133
scanvi,50,crc_242,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,212.36591792106628,14.655596463185436,0.1523415300081361,0.6177349090576172
scviva,50,crc_242,100000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,89.14392471313477,14.481945037841797,0.05483584993340996,0.18361854553222656
simvi,50,crc_242,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,3.005030632019043,3.0358708699544272,0.05559523900349935,2.5415291786193848
simvi,50,crc_242,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_242.h5ad,42.067261695861816,3.276107697259812,0.8598992824554443,13.259479999542236
simvi,50,crc_232,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,3.0051050186157227,1.990338643391927,0.04120826721191406,2.5415291786193848
simvi,50,crc_232,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_232.h5ad,41.058764934539795,2.255469438506336,1.0529900992788919,13.259479999542236
simvi,50,crc_221,1000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,3.0057153701782227,2.517205556233724,0.34841712315877277,2.5415291786193848
simvi,50,crc_221,10000,/data2/a330d/datasets/crc/raw_zenodo/crc_221.h5ad,42.06520700454712,2.8099738529750278,1.0114609854561942,13.259479999542236
