KO,type,baseline,Pearson,Precision,E-distance,RMSE_LFC,seed,model
LBP,KO-specific,Cellina-GAT,-0.18447881708637812,0.5,4.121299629823481,0.37954095535939375,1,cellina-gat
MAP2K3,full,Cellina-GAT,-0.5755054240386811,0.4,3.870659458341027,0.6181229719289145,1,cellina-gat
MAP2K3,KO-specific,Cellina-GAT,-0.5798696601578387,0.5,3.76806318609584,0.4957965424291387,1,cellina-gat
MAP2K2,full,Cellina-GAT-random,0.16442191921694596,0.42000000000000004,3.9711792740698284,0.7903194994339079,1,cellina-gat
MAP2K2,KO-specific,Cellina-GAT-random,0.38751216556139917,0.52,3.9107066972535995,0.6846369268124567,1,cellina-gat
IRAK1,full,Cellina-GAT-random,0.9101935126300248,1.0,4.43649932519187,0.5912504901389798,1,cellina-gat
IRAK1,KO-specific,Cellina-GAT-random,0.43641245756924985,0.6,4.4378253353899755,0.4159768928561178,1,cellina-gat
IRF7,full,Cellina-GAT-random,0.836912370087599,0.9800000000000001,3.7571018321682543,0.4701200273227436,1,cellina-gat
IRF7,KO-specific,Cellina-GAT-random,0.7293788052013322,1.0,3.8030529722573094,0.3589163862898825,1,cellina-gat
PELI1,full,Cellina-GAT-random,0.26299956652740675,0.6599999999999999,3.7204612735969897,0.5442012208730039,1,cellina-gat
PELI1,KO-specific,Cellina-GAT-random,0.10820186382576513,0.56,3.777353139704369,0.35910778895663664,1,cellina-gat
IRF3,full,Cellina-GAT-random,0.07716699344803034,0.7,4.030013014976518,0.5581564075666481,1,cellina-gat
IRF3,KO-specific,Cellina-GAT-random,-0.08313140679386379,0.5,4.115341191461574,0.36592140497209763,1,cellina-gat
IRF5,full,Cellina-GAT-random,-0.4370454394289526,0.5,3.6229530898053057,0.6946762297913769,1,cellina-gat
IRF5,KO-specific,Cellina-GAT-random,-0.553040767043816,0.3,3.5666351726502525,0.5319586070750911,1,cellina-gat
NFKBIA,full,Cellina-GAT-random,0.15232201594268907,0.5800000000000001,4.056973653692379,0.8031929409037939,1,cellina-gat
NFKBIA,KO-specific,Cellina-GAT-random,0.05488403609331224,0.45999999999999996,4.0566713956128435,0.6003761409105483,1,cellina-gat
LBP,full,Cellina-GAT-random,-0.0019124675441273974,0.7,4.302296873231528,0.45451305536995423,1,cellina-gat
LBP,KO-specific,Cellina-GAT-random,0.14596869498177498,0.6,4.3034675794589194,0.2978355341142434,1,cellina-gat
MAP2K3,full,Cellina-GAT-random,-0.5704637226269524,0.38,3.926687338562387,0.6490026374674162,1,cellina-gat
MAP2K3,KO-specific,Cellina-GAT-random,-0.5992043719598928,0.32000000000000006,4.002040868824383,0.5226000860235633,1,cellina-gat
MAP2K2,full,Cellina-GAT,0.5078900682699277,0.6,3.5828580992921966,0.637739958760965,2,cellina-gat
MAP2K2,KO-specific,Cellina-GAT,0.7403667954491162,0.8,3.5842642067190837,0.5872105262730032,2,cellina-gat
IRAK1,full,Cellina-GAT,0.7365424528233045,0.7,4.172079073741344,0.5585931506081817,2,cellina-gat
IRAK1,KO-specific,Cellina-GAT,0.3495036106500652,0.5,4.2045953862171155,0.48184128860836195,2,cellina-gat
IRF7,full,Cellina-GAT,0.654351453420155,0.7,3.565847246706768,0.43341042234791083,2,cellina-gat
IRF7,KO-specific,Cellina-GAT,0.9326508686941766,1.0,3.637288947657493,0.2062277789756709,2,cellina-gat
PELI1,full,Cellina-GAT,0.5684647937547637,0.7,3.333427450359248,0.44132374698909904,2,cellina-gat
PELI1,KO-specific,Cellina-GAT,0.790056396675785,0.6,3.5258712174033233,0.3371340739758529,2,cellina-gat
IRF3,full,Cellina-GAT,0.717746823224583,0.7,3.935470981907887,0.3595259820527324,2,cellina-gat
IRF3,KO-specific,Cellina-GAT,0.5082915557864556,0.7,3.7040720642789835,0.24263484464987553,2,cellina-gat
IRF5,full,Cellina-GAT,0.26577935080622617,0.6,3.3515488114943226,0.475069811260343,2,cellina-gat
IRF5,KO-specific,Cellina-GAT,-0.00750832291685723,0.4,3.1774029237345873,0.46830871741185126,2,cellina-gat
NFKBIA,full,Cellina-GAT,0.13263553390694627,0.5,3.7235859965961113,0.8371043171279401,2,cellina-gat
