sid,model_name,holdout_celltype,spearman,pearson,precision,edistance_cells,edistance_latents,edistance_local,mixing_index
210,cellina,Endothelial,0.7108677716942925,0.910663321672116,0.28,7.21718227986906,0.30209102630615237,1.0240455241306339,0.992990384701382
210,cellina,Epithelial,0.6550498762469061,0.6906117025969097,0.18,9.661312031914939,0.3415682792663574,4.852484889524229,0.9920968651284098
210,cellina,Fibroblast,0.6618105452636317,0.7246222599637788,0.295,10.795543570103224,0.34555940628051757,4.299245166613509,0.7342408928004779
210,cellina,Myeloid,0.7705377634440862,0.7691871622982975,0.36,8.420643705354063,0.3795525550842285,3.6146774937544692,0.8403716908522407
210,cellina,T_cell,0.6906412660316509,0.7271150558601611,0.275,4.623761701844858,0.2250387191772461,0.8302569052524508,0.9897864034125566
210,cellina-graph,Endothelial,0.4490302257556439,0.7325142992412711,0.155,6.351736950878527,0.08432178497314453,3.9211285672331977,0.9849855821815651
210,cellina-graph,Epithelial,0.4883477086927174,0.40829603800518655,0.34,9.064807286022305,0.1050018310546875,4.549251636065999,0.7495132380294507
210,cellina-graph,Fibroblast,0.23794944873621846,0.15221839538256693,0.235,17.364665686324084,0.09776229858398437,22.763753695618668,0.6649570179874303
210,cellina-graph,Myeloid,0.5561269031725794,0.5633947822616157,0.315,8.170638302477304,0.1279754638671875,4.289196746925159,0.8420833437660418
210,cellina-graph,T_cell,0.24736368409210235,0.2721934492027893,0.085,3.6604833179061615,0.09915046691894532,3.1806282744017005,0.3060731820416685
210,cpa,Endothelial,0.40883072076801924,0.795500880480989,0.165,6.909883715731221,10.247049808502197,1.0203596707006015,0.6620463095803655
210,cpa,Epithelial,0.36659416485412144,0.41576875183645007,0.11,9.485635898271873,11.77289171218872,4.722304524235429,0.569115995108562
210,cpa,Fibroblast,0.4781894547363685,0.5784207450804688,0.215,10.53037749572168,9.416890811920165,4.495958239943464,0.7140783763313623
210,cpa,Myeloid,0.33711392784819627,0.3615586717139504,0.095,8.103490946892048,10.139720249176026,2.3788418349483877,0.8311737278717573
210,cpa,T_cell,0.606220655516388,0.6276223987639462,0.19,4.268091139638574,10.030110073089599,0.7035318791105111,0.9715821311479229
210,scgen,Endothelial,0.5973584339608491,0.8560291045650703,0.185,2.416180059076495,0.19578266143798828,1.466228555603282,0.8586366244154352
210,scgen,Epithelial,0.21480537013425338,0.20929694523149012,0.075,4.040026284277535,0.46407318115234375,3.305555472740751,0.7513716148714755
210,scgen,Fibroblast,0.4099392484812121,0.4259876531135709,0.315,3.0985210728237016,0.21638765335083007,2.616025301223864,0.8866849573703477
210,scgen,Myeloid,0.22172654316357912,0.13986546641688702,0.23,3.149773510611243,0.19571237564086913,3.6214201833959563,0.7991728252762899
