sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca,edistance_pca_log,rmse,mse_lfc
crc_232,cellina-graph,Fibroblast_CRC,50,0.7792076830732292,0.7378045045309808,0.14,1.0,0.14,0.82,0.666151244261899,90.21051578244423,95.84582107419422,596.630873745383,9.803071116583666,27888.008816353842,2.406334656815867
crc_232,cellina-graph,Myeloid_CRC,50,0.8266506602641056,0.8844647889336359,0.34,1.0,0.34,1.0,0.8641246030929668,79.37664012398254,83.57918361610866,319.9035006397145,11.425675426989264,3006.7108138633635,1.0720701057101274
crc_232,cellina-graph,T_cell_CRC,50,0.7645138055222088,0.9261465020542847,0.24,1.0,0.24,0.86,0.9953455066237021,104.02359181958309,112.21915487557158,142.50108894553236,7.500165906401342,6833.370623897593,1.540081821835646
crc_232,cpa,Endothelial_CRC,50,0.654453781512605,0.6918778502206681,0.08,1.0,0.08,0.88,0.9477567211579403,49.34857360271286,58.312751356247894,164.58831962116966,10.759742460733005,5644.549886981967,1.5164368979784877
crc_232,cpa,Epithelial_CRC,50,0.6927731092436974,0.688577108265446,0.04,1.0,0.04,0.78,0.6829626357403651,47.248784695929764,54.95467663433867,207.98913337225878,7.518357620693979,41860.10260583826,3.276868254559552
crc_232,cpa,Fibroblast_CRC,50,0.49867947178871547,0.5590495273154826,0.08,1.0,0.08,0.64,0.6759184127346993,46.39352425734224,53.32950505875872,368.3048981313053,10.091853064374991,28415.60706736993,3.8535327730883893
crc_232,cpa,Myeloid_CRC,50,0.7640336134453781,0.8000358689100923,0.16,1.0,0.16,0.94,0.8538718803804155,47.23563546984013,53.10563380446787,105.95455638239189,5.3129093541164805,3391.1739473624643,1.7379541099560702
crc_232,cpa,T_cell_CRC,50,0.6324609843937575,0.9211810613161344,0.16,1.0,0.16,0.82,0.9964196204797708,52.6041108584046,61.458041088379005,100.78733437599983,9.178466034956474,5668.078590927308,1.513275487148916
crc_232,scgen,Endothelial_CRC,50,0.6204561824729891,0.6705120902442475,0.1,1.0,0.1,0.84,0.9373406100865056,37.94994274829115,35.87406845276821,538.3774674634851,4.051967721247314,5040.987429693564,1.8442734311822546
crc_232,scgen,Epithelial_CRC,50,0.38372148859543814,0.3144787071576565,0.08,1.0,0.08,0.56,0.8060310515699209,46.57399345792671,43.90082459485243,634.2473629322561,3.666253055932912,45010.06234676532,5.538199270267805
crc_232,scgen,Fibroblast_CRC,50,0.6519567827130852,0.6041239551216037,0.14,1.0,0.14,0.5,0.9583313255553145,39.83349849003015,34.968141810151394,929.1001317664953,2.848703311471131,28833.149273262177,3.617195121975785
crc_232,scgen,Myeloid_CRC,50,0.6747178871548619,0.7804728170129518,0.18,1.0,0.18,0.88,0.4893909141334954,24.35913393966873,26.132608504288452,871.8616480049332,1.9758882307421388,3221.9730356476275,2.3949406330463607
crc_232,scgen,T_cell_CRC,50,0.6445618247298919,0.9215220814564103,0.14,1.0,0.14,0.86,0.972414189111593,51.45298414293993,46.57643077284111,358.87045778824233,4.209628181280416,5585.601704124212,1.5656009515510656
crc_242,baseline,Endothelial_CRC,50,0.5749339735894358,0.5077079506005627,0.08,1.0,0.08,0.9,0.0054811205846528625,61.256900862125875,65.83535618437114,539.1556123893149,29.01061768070419,1896.226293645689,49.38670719856622
crc_242,baseline,Epithelial_CRC,50,0.680672268907563,0.6580105124045557,0.28,1.0,0.28,0.7,0.002719786918762778,63.926055122323625,64.72805759460415,1388.2656185887627,47.83770361512484,89239.61314887843,219.99712538370792
crc_242,baseline,Fibroblast_CRC,50,0.7605762304921969,0.6409242359995175,0.18,1.0,0.18,0.88,0.506396641627188,62.91790935332641,69.07965838740866,1177.2932782012995,33.71607503573254,28663.515031921193,84.51436389446404
