dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb,nb_deviance
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,glutamatergic neuron,0.8290516206482592,0.9650618,0.64,1.0,0.64,1.0,0.7351419859117891,36.93470649719238,41.408381652832034,9.884922218322753,408.1621520996094,11425.91,7.2305574,200,0.09896056038359219
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,glutamatergic neuron,0.6733733493397358,0.8394001,0.48,1.0,0.48,0.98,0.6335518637011274,33.953459930419925,43.00233917236328,10.488251399993896,448.6616149902344,11798.266,5.399969,200,0.07591046456744889
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,oligodendrocyte,0.32763505402160864,0.5023045,0.2,1.0,0.2,0.76,0.8807592247442809,32.03517475128174,32.758121490478516,7.937432098388672,150.37828063964844,5953.296,230.64072,200,0.017974523484145275
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,oligodendrocyte,0.06343337334933974,0.73583734,0.38,1.0,0.38,0.9,0.9865060240963854,33.333509063720705,32.994868469238284,8.866442680358887,192.26731872558594,5473.387,16.857443,200,0.009768533215192367
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,astrocyte,0.8421128451380552,0.8649888,0.64,1.0,0.64,0.98,0.5502010126192973,33.870771408081055,33.46741790771485,7.372365474700928,301.72264099121094,3017.363,17.36227,200,0.015725225621961852
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,astrocyte,0.6585834333733492,0.6039705,0.56,1.0,0.56,0.9,0.6867359220505215,34.70876197814941,34.98497619628906,8.022969150543213,528.7275451660156,3424.5142,56.3588,200,0.020032611804052934
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,GABAergic neuron,0.8895558223289316,0.96808916,0.58,1.0,0.58,1.0,0.8357400833461954,37.68408050537109,41.5947883605957,6.824631404876709,247.73619995117187,1090.8535,4.6828094,200,0.0467103612034434
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,GABAergic neuron,0.7205282112845137,0.7447593,0.38,0.8947368421052632,0.34,0.6,0.9623067356558321,38.9106029510498,42.84165992736816,6.85121898651123,251.76329040527344,1289.9248,189.98065,200,0.022082123013532275
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-pert,endothelial cell,0.9142376950780312,0.9331699,0.74,1.0,0.74,0.96,0.8757458005691031,36.12964973449707,36.6576644897461,8.381923294067382,165.3104034423828,2812.5042,44.18707,200,0.011855360408071702
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-pert,endothelial cell,0.5761824729891956,0.99332154,0.12,1.0,0.12,0.88,0.9388840323040896,35.560933685302736,35.79784965515137,8.273889541625977,208.9417510986328,3415.569,299.81097,200,0.008673978128971187
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-gat-pert,glutamatergic neuron,0.8866746698679471,0.9730145,0.46,1.0,0.46,0.98,0.46191051995163246,40.55464630126953,48.77140655517578,12.355343914031982,468.3340148925781,14583.825,12.067056,200,0.12288598068023313
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-gat-pert,glutamatergic neuron,0.7480912364945977,0.8903056,0.44,1.0,0.44,0.98,0.2945327393578332,39.834407043457034,47.69794273376465,13.787662792205811,634.0330078125,12126.066,9.934363,200,0.17971308337228298
