dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina,astrocyte,0.6348619447779111,0.58796823,0.44,1.0,0.44,0.88,0.7269820267880753,35.78838272094727,36.37148017883301,7.543045330047607,553.5598754882812,3476.3684,57.12315
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina,GABAergic neuron,0.892436974789916,0.9693824,0.56,1.0,0.56,1.0,0.7772187065905232,39.25741539001465,42.08120498657227,7.844999122619629,282.88673095703126,1065.8315,4.4145765
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina,GABAergic neuron,0.709483793517407,0.7443542,0.38,0.8947368421052632,0.34,0.6,0.7769725629884388,40.449802780151366,44.055646133422854,7.478795719146729,309.74571533203124,1276.1355,189.80833
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina,endothelial cell,0.9064585834333733,0.9350219,0.78,1.0,0.78,0.96,0.9515038399167765,38.32987289428711,37.95877304077148,7.818318843841553,199.86104431152344,2836.0137,44.2447
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina,endothelial cell,0.5806002400960384,0.9933678,0.12,1.0,0.12,0.92,0.978249545921903,36.058315658569335,35.80828285217285,7.365209102630615,270.5295349121094,3422.348,293.62088
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-ablated,glutamatergic neuron,0.767875150060024,0.9309716,0.38,1.0,0.38,1.0,0.0422905788057651,33.38732757568359,46.19833602905273,16.657056045532226,801.1506103515625,14285.798,21.273785
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-ablated,glutamatergic neuron,0.7614405762304921,0.8555058,0.26,1.0,0.26,0.98,0.7892637306061008,31.3888578414917,43.404584121704104,13.282944774627685,695.3770935058594,11368.577,11.547346
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-ablated,oligodendrocyte,0.33647058823529413,0.50029474,0.18,1.0,0.18,0.6,0.9814797865495128,29.36258201599121,30.178068923950196,5.2994708061218265,116.36027221679687,5976.583,241.12976
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-ablated,oligodendrocyte,0.05978391356542617,0.74426806,0.22,0.9090909090909091,0.2,0.8,0.9865060240963854,31.847660255432128,31.38338737487793,6.788661003112793,221.98198852539062,5226.397,20.103071
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-ablated,astrocyte,0.8212725090036014,0.8603978,0.56,1.0,0.56,0.98,0.9889882733064609,31.36403408050537,30.996831130981445,5.139923858642578,179.90142211914062,2997.8992,18.66597
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-ablated,astrocyte,0.5855942376950779,0.58111817,0.42,0.9047619047619048,0.38,0.86,0.7198253025256979,30.4924617767334,30.78365287780762,5.153836441040039,437.03973388671875,3637.0237,60.66057
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-ablated,GABAergic neuron,0.8660264105642257,0.94397104,0.46,1.0,0.46,1.0,0.9783052940268561,34.69900627136231,39.71861610412598,8.626135349273682,305.5651062011719,1176.086,7.673126
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-ablated,GABAergic neuron,0.647154861944778,0.7060753,0.38,0.7368421052631579,0.28,0.6,0.9438055610999371,35.58173789978027,40.10418891906738,8.02844934463501,280.4898315429688,1309.8568,195.55756
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-ablated,endothelial cell,0.9087635054021608,0.93417543,0.76,1.0,0.76,0.94,0.892574121102714,30.402426338195802,30.382734298706055,5.179798030853272,110.34298095703124,2823.009,43.358135
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-ablated,endothelial cell,0.6415846338535413,0.99376225,0.12,1.0,0.12,0.9,0.9693446328195419,30.985919952392578,31.138211822509767,5.30431489944458,178.73865356445313,3395.138,299.71622
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-graph,glutamatergic neuron,0.8448979591836735,0.9593498,0.62,1.0,0.62,1.0,0.44650560828300256,41.89989585876465,47.89410057067871,8.515616130828857,333.62632751464844,11236.304,6.551507
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-graph,glutamatergic neuron,0.7696998799519807,0.91425616,0.54,1.0,0.54,1.0,0.8875214742315415,41.79434356689453,48.70282173156738,9.180001640319825,437.56532592773436,12187.951,2.7441669
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-graph,astrocyte,0.8345258103241295,0.8795583,0.66,1.0,0.66,0.98,0.4467871122144441,42.8103141784668,41.414486694335935,9.543183898925781,423.1642333984375,3128.3545,15.408788
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-graph,astrocyte,0.6443697478991596,0.5663443,0.54,1.0,0.54,0.88,0.8069086621301537,36.21956596374512,37.482876205444335,6.40528039932251,396.2225830078125,3246.917,59.113544
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-graph,GABAergic neuron,0.8789915966386556,0.97962385,0.68,1.0,0.68,1.0,0.7782713381694706,42.77616806030274,45.460748291015626,10.617905330657958,405.7179931640625,928.8507,2.678882
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-graph,GABAergic neuron,0.745018007202881,0.74800533,0.38,0.8947368421052632,0.34,0.56,0.9228017380356512,42.84408798217773,47.95347366333008,9.131444358825684,383.59954833984375,1345.8785,196.92311
merfish,C57BL6J-2.041,Thalamus,Isocortex,50,cellina-graph,endothelial cell,0.9055942376950781,0.9374891,0.8,1.0,0.8,0.96,0.7908698711868556,40.2126522064209,40.987813568115236,8.427609157562255,271.5372589111328,2519.4204,42.197212
merfish,C57BL6J-2.041,Thalamus,Fiber_tracts,50,cellina-graph,endothelial cell,0.5868427370948379,0.99131984,0.12,1.0,0.12,0.84,0.650910194449603,41.14543075561524,42.34527931213379,8.51017141342163,419.59946899414064,3399.049,303.51923
