KO,type,baseline,Pearson,Precision,E-distance,RMSE_LFC,seed,model
IRF5,KO-specific,terra-lora-ep5,0.11249662190675735,0.5,1.3843568130537252,0.38442838191986084,4,terra
NFKBIA,full,terra-lora-ep5,0.7890235185623169,0.9,1.548233850649294,0.4649823307991028,4,terra
NFKBIA,KO-specific,terra-lora-ep5,0.6732335686683655,0.8,1.5251191650263947,0.3882943093776703,4,terra
LBP,full,terra-lora-ep5,0.1519159972667694,0.6,1.6767382119741363,0.43552473187446594,4,terra
LBP,KO-specific,terra-lora-ep5,-0.3794848322868347,0.4,1.6177779322619834,0.44665786623954773,4,terra
MAP2K3,full,terra-lora-ep5,0.5130990743637085,0.8,1.4017438049340332,0.5218868851661682,4,terra
MAP2K3,KO-specific,terra-lora-ep5,0.11209207773208618,0.5,1.4663359420489643,0.4242262840270996,4,terra
MAP2K2,full,terra-lora-ep5-random,0.3604873716831207,0.6599999999999999,1.4861059501467144,0.7239077687263489,4,terra
MAP2K2,KO-specific,terra-lora-ep5-random,0.3241402804851532,0.6599999999999999,1.4886706721063727,0.6655732989311218,4,terra
IRAK1,full,terra-lora-ep5-random,0.30346864461898804,0.62,1.9420031468733043,0.6135728359222412,4,terra
IRAK1,KO-specific,terra-lora-ep5-random,0.07752370089292526,0.5800000000000001,1.948987243297065,0.48559826612472534,4,terra
IRF7,full,terra-lora-ep5-random,0.2118041068315506,0.42000000000000004,1.5383660996484911,0.5385024547576904,4,terra
IRF7,KO-specific,terra-lora-ep5-random,-0.09555105865001678,0.32,1.5287983580376105,0.40647974610328674,4,terra
PELI1,full,terra-lora-ep5-random,-0.4123604893684387,0.48,1.3552695239525228,0.6069148778915405,4,terra
PELI1,KO-specific,terra-lora-ep5-random,-0.4182877540588379,0.45999999999999996,1.3493314135684897,0.5375609397888184,4,terra
IRF3,full,terra-lora-ep5-random,0.11260159313678741,0.41999999999999993,1.5448963755151497,0.4963985085487366,4,terra
IRF3,KO-specific,terra-lora-ep5-random,-0.5634097456932068,0.36000000000000004,1.560255749942253,0.4382987916469574,4,terra
IRF5,full,terra-lora-ep5-random,0.6138454675674438,0.7,1.3946049408591619,0.3427017629146576,4,terra
IRF5,KO-specific,terra-lora-ep5-random,0.1082606315612793,0.54,1.3813996474212806,0.3906545639038086,4,terra
NFKBIA,full,terra-lora-ep5-random,0.802885890007019,0.9,1.520386906002522,0.4676646292209625,4,terra
NFKBIA,KO-specific,terra-lora-ep5-random,0.6059946417808533,0.8,1.5216940126697955,0.41142788529396057,4,terra
LBP,full,terra-lora-ep5-random,0.1095605120062828,0.7,1.6024336776488777,0.44328051805496216,4,terra
LBP,KO-specific,terra-lora-ep5-random,-0.40790849924087524,0.4,1.5813403914049453,0.4345178008079529,4,terra
MAP2K3,full,terra-lora-ep5-random,0.5689717531204224,0.7200000000000001,1.4814162651464213,0.5197457671165466,4,terra
MAP2K3,KO-specific,terra-lora-ep5-random,-0.0028360411524772644,0.5,1.5060773326667822,0.4414582848548889,4,terra
